Plant ID,NERC Region,Quantity,Elec_Quantity,MMBtuPer_Unit,Tot_MMBtu,Elec_MMBtu,Netgen,Nameplate Capacity (MW),Operating Time,Gross Load (MW-h),Steam Load (1000lb),SO2 (tons),Avg. NOx Rate (lb/MMBtu),NOx (tons),CO2 (short tons),Heat Input (MMBtu),EPA Region
811,WECC,0.0,0.0,0.0,2051624.0,2051624.0,220155.0,585.4,,,,,,,,,
833,WECC,0.0,0.0,0.0,1488906.0,1488906.0,159771.0,265.2,,,,,,,,,
840,WECC,0.0,0.0,0.0,1678454.0,1678454.0,180111.0,400.0,,,,,,,,,
856,SERC,111140.0,111140.0,23.573,1947179.0,1947179.0,190005.001,644.3,938.7,206194.15,,376.312,0.3064,97.905,197230.703,1880548.61,5.0
861,SERC,245228.0,245228.0,23.26,4279446.0,4279446.0,380861.998,1005.4,1219.01,421973.28,,2.268,0.1493,125.666,431626.06,4115425.736,5.0
862,SERC,99292.0,99292.0,1.024,101675.0,101675.0,8978.0,640.9,85.01,9867.38,,0.03,0.1802,3.804,5961.414,100314.796,5.0
869,RFC,0.0,0.0,0.0,13908627.0,13908627.0,1329951.0,2018.6,,,,,,,,,
874,RFC,0.0,0.0,0.0,0.0,0.0,0.0,360.4,,,,,,,,,
876,RFC,21605.0,21605.0,18.079,335233.0,335233.0,16939.0,1319.0,122.83,27169.57,,11.273,0.3624,16.574,32673.114,311528.738,5.0
879,RFC,51322.0,51322.0,18.03,852480.0,852480.0,64843.0,1785.6,268.0,77021.0,,109.125,0.2842,47.669,90371.35,851021.325,5.0
880,RFC,0.0,0.0,0.0,14229489.0,14229489.0,1360632.0,2018.6,,,,,,,,,
883,RFC,98233.0,98233.0,18.0,1198233.0,1198233.0,104776.005,793.7,570.75,112687.0,,137.811,0.1947,58.079,114874.525,1078896.075,5.0
884,RFC,2964.0,2964.0,23.04,43245.0,43245.0,0.0,598.4,16.0,0.0,,0.005,0.0484,0.133,520.7,4911.7,5.0
886,RFC,4373.0,4373.0,5.9,25801.0,25801.0,1558.0,288.8,,,,,,,,,
