generation (MWh),year,state
131520988.98000005,2012,OH
86417276.76000002,2012,OK
68136977.96999997,2012,OR
227910979.78000006,2012,PA
8410930.819999998,2012,RI
98899154.53999998,2012,SC
13827254.049999999,2012,SD
78548538.50000003,2012,TN
463947471.38,2012,TX
40504303.80999998,2012,UT
73097678.56999998,2012,VA
7075582.689999999,2012,VT
125050617.57000008,2012,WA
66974115.81999999,2012,WI
74709967.7,2012,WV
53957713.3,2012,WY
6694142.689999997,2013,AK
153448502.29999992,2013,AL
61923305.36999998,2013,AR
118170068.59999996,2013,AZ
239468471.65999997,2013,CA
60722271.69000002,2013,CO
36262879.08,2013,CT
7912120.059999995,2013,DE
227267571.67999995,2013,FL
124807409.91999996,2013,GA
11413499.47,2013,HI
72397793.79000002,2013,IA
18338181.800000004,2013,ID
213342374.9799998,2013,IL
114321952.92000006,2013,IN
57963779.800000004,2013,KS
90067701.97999999,2013,KY
104796779.82999995,2013,LA
34439903.79999998,2013,MA
36855461.81000001,2013,MD
18923401.52,2013,ME
110932185.07999998,2013,MI
61170980.640000015,2013,MN
92867470.04000011,2013,MO
54258651.06000002,2013,MS
29447087.88999999,2013,MT
129235806.43000004,2013,NC
40546111.780000016,2013,ND
38973666.60999998,2013,NE
21473923.409999993,2013,NH
66635468.50000002,2013,NJ
38859055.75000003,2013,NM
40866044.259999976,2013,NV
142071957.79999986,2013,NY
139339757.50000003,2013,OH
85180084.49999999,2013,OK
68550922.47000006,2013,OR
232587038.87,2013,PA
6270954.180000001,2013,RI
97476007.83999996,2013,SC
12796585.540000005,2013,SD
80782202.80000001,2013,TN
471302736.1199999,2013,TX
43450591.079999976,2013,UT
79802506.61000003,2013,VA
7646741.530000002,2013,VT
122995443.17999993,2013,WA
69154772.92999998,2013,WI
77253581.71,2013,WV
56916349.489999965,2013,WY
6257298.329999999,2014,AK
152125150.55000004,2014,AL
63132060.30999997,2014,AR
124583198.38999996,2014,AZ
269936169.8999998,2014,CA
62807496.71999997,2014,CO
34721588.12000002,2014,CT
8076631.060000002,2014,DE
235810361.88000003,2014,FL
130539563.13,2014,GA
12590666.389999997,2014,HI
73475076.57999995,2014,IA
18670186.11,2014,ID
212985524.19000015,2014,IL
119606947.61999995,2014,IN
60638427.24000001,2014,KS
91369676.29999994,2014,KY
107216106.41999999,2014,LA
34711510.02000001,2014,MA
39524325.78000002,2014,MD
17767083.799999997,2014,ME
113560743.96000004,2014,MI
68498143.74999999,2014,MN
89333406.19999999,2014,MO
56639524.85000001,2014,MS
32267225.190000016,2014,MT
133025328.04999994,2014,NC
42668226.31,2014,ND
42234516.32000004,2014,NE
21519395.249999985,2014,NH
73308480.30000006,2014,NJ
36388408.55000004,2014,NM
42302122.59000002,2014,NV
144410376.84999987,2014,NY
136775442.0,2014,OH
82435162.07999994,2014,OK
69240960.29,2014,OR
227767040.93000016,2014,PA
6544666.979999998,2014,RI
99618496.87000003,2014,SC
13332362.249999993,2014,SD
80822142.63999993,2014,TN
480617450.3600002,2014,TX
45119880.08999995,2014,UT
81032912.14,2014,VA
7931995.600000005,2014,VT
125515592.97000007,2014,WA
64376372.57999998,2014,WI
82518243.48999998,2014,WV
54106689.460000016,2014,WY
6499523.439999999,2015,AK
155773134.53,2015,AL
57013990.32999999,2015,AR
126930691.34000006,2015,AZ
283756145.6699997,2015,CA
61484548.97999999,2015,CO
38707948.61999999,2015,CT
8195635.880000001,2015,DE
243315995.70999986,2015,FL
133810369.78,2015,GA
12711654.110000003,2015,HI
74871759.01,2015,IA
18626593.919999998,2015,ID
205427858.79,2015,IL
109473206.5700001,2015,IN
56602080.02999999,2015,KS
83996554.79999998,2015,KY
110823872.47999996,2015,LA
36545963.440000005,2015,MA
38348144.760000005,2015,MD
16227941.530000005,2015,ME
120368647.50000003,2015,MI
68624177.97,2015,MN
85143106.04000002,2015,MO
66267759.76000001,2015,MS
31304838.379999995,2015,MT
135271379.22000003,2015,NC
43666467.31,2015,ND
43132057.18000002,2015,NE
22111192.970000006,2015,NH
80328860.51000004,2015,NJ
36950145.23000003,2015,NM
47837396.14999998,2015,NV
146324357.2700001,2015,NY
124253506.8399999,2015,OH
90513552.26000002,2015,OK
66048597.15,2015,OR
221043308.58999997,2015,PA
7223338.959999994,2015,RI
98848621.01000005,2015,SC
12131605.780000003,2015,SD
76612108.31999998,2015,TN
497749167.4599999,2015,TX
43319474.01000001,2015,UT
88615131.88000001,2015,VA
3024751.2099999986,2015,VT
118467352.17000002,2015,WA
69579553.93000004,2015,WI
73680460.58000001,2015,WV
52728046.669999965,2015,WY
6549747.039999998,2016,AK
145829388.25999987,2016,AL
61907432.08999999,2016,AR
124023725.75999998,2016,AZ
300749338.5699998,2016,CA
66538340.059999995,2016,CO
38078832.36000001,2016,CT
9092679.049999997,2016,DE
243987012.47999984,2016,FL
139828187.42,2016,GA
12992953.14,2016,HI
74835540.91000003,2016,IA
18952132.189999998,2016,ID
198639908.86999992,2016,IL
107803051.61000003,2016,IN
61792897.27000004,2016,KS
80814311.33999994,2016,KY
110526204.88000003,2016,LA
37710139.84999999,2016,MA
39903924.52000002,2016,MD
16028370.160000008,2016,ME
119444667.30999996,2016,MI
71408393.75000003,2016,MN
80304304.11999999,2016,MO
64418221.37999999,2016,MS
29965762.6,2016,MT
143939569.56,2016,NC
46034558.78999997,2016,ND
40438390.57999998,2016,NE
21507196.619999997,2016,NH
83890026.17000008,2016,NJ
39118701.570000045,2016,NM
53656009.92000002,2016,NV
142766487.16999996,2016,NY
121302020.79000004,2016,OH
99110723.92999999,2016,OK
68948836.38000004,2016,OR
221731632.79999992,2016,PA
6899375.679999998,2016,RI
99448943.02999999,2016,SC
15240974.110000001,2016,SD
80719106.88000004,2016,TN
516236301.75000006,2016,TX
42985597.13000001,2016,UT
96791607.50999993,2016,VA
3008324.450000001,2016,VT
124316834.06999996,2016,WA
68028933.77999997,2016,WI
77386443.92999993,2016,WV
51052790.6,2016,WY
5568870.84,2017,AK
142935414.09999996,2017,AL
63699036.77,2017,AR
124291759.18000005,2017,AZ
328179154.4899998,2017,CA
67911155.50999996,2017,CO
35804422.74999998,2017,CT
7969648.5,2017,DE
245941541.45000017,2017,FL
139596864.2800001,2017,GA
13475420.339999994,2017,HI
77489834.89,2017,IA
20394707.530000012,2017,ID
193966780.1800001,2017,IL
106803473.99999999,2017,IN
69951207.67,2017,KS
72671956.80000004,2017,KY
100182978.98000002,2017,LA
38893282.030000016,2017,MA
37654654.559999995,2017,MD
15371966.559999997,2017,ME
120388210.77999997,2017,MI
74891166.80000001,2017,MN
86019491.62000002,2017,MO
62307254.10000001,2017,MS
30480701.92,2017,MT
150936921.70000008,2017,NC
51899609.140000015,2017,ND
41275167.77999999,2017,NE
19834428.420000013,2017,NH
82290836.41999997,2017,NJ
41624961.73,2017,NM
54070861.39000001,2017,NV
137108777.14,2017,NY
121830606.42999992,2017,OH
101322860.54999995,2017,OK
67334272.88000001,2017,OR
206960665.0699998,2017,PA
5212848.899999999,2017,RI
96672514.98999998,2017,SC
13591386.849999998,2017,SD
79660439.45999996,2017,TN
528579629.7200001,2017,TX
44653062.40000001,2017,UT
98793745.98,2017,VA
3312377.270000001,2017,VT
125220386.55999999,2017,WA
68528919.90999997,2017,WI
75032639.09999998,2017,WV
51232494.93000001,2017,WY
